"No.","Time","Delta","Source","Destination","Protocol","Length","Info"
"1498","62.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1522","63.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1546","64.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1570","65.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1594","66.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1619","67.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1643","68.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1664","69.428796","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1688","70.428799","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1712","71.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1736","72.428801","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1760","73.428830","1.000029","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1784","74.429376","1.000546","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1808","75.428798","0.999422","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1832","76.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1857","77.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1881","78.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1905","79.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1929","80.428796","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1953","81.428799","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"1977","82.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2001","83.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2025","84.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2049","85.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2073","86.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2095","87.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2119","88.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2143","89.428796","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2167","90.428830","1.000034","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2191","91.428829","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2215","92.428799","0.999970","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2239","93.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2263","94.428800","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2287","95.428799","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2311","96.428800","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2335","97.428797","0.999997","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2360","98.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2384","99.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2408","100.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2432","101.428800","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2456","102.428800","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2480","103.428798","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2501","104.428800","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2526","105.428799","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2550","106.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2576","107.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2601","108.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2626","109.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"2650","110.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"2674","111.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"2699","112.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"2723","113.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"2748","114.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"2772","115.428800","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
